title,rating,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency,module_count,gb_per_module,total_ram
G.Skill Ripjaws V 32 GB,4.5,52.99,DDR4-3600,2 x 16GB,1.656,Black,10 ns,18.0,2,16,32
G.Skill Aegis 16 GB,4.5,29.99,DDR4-3200,2 x 8GB,1.874,Red / Black,10 ns,16.0,2,8,16
Corsair Vengeance RGB 64 GB,4.5,239.99,DDR5-6000,2 x 32GB,3.75,White / Silver,10 ns,30.0,2,32,64
Silicon Power SP016GLLTU160N22 16 GB,4.5,15.99,DDR3-1600,2 x 8GB,0.999,Green,13.75 ns,11.0,2,8,16
G.Skill Flare X5 32 GB,,114.99,DDR5-6000,2 x 16GB,3.593,Black,9.333 ns,28.0,2,16,32
Corsair Vengeance 192 GB,,599.99,DDR5-5200,4 x 48GB,3.125,Black,14.615 ns,38.0,4,48,192
Crucial Pro 64 GB,5.0,89.99,DDR4-3200,2 x 32GB,1.406,Black / Green,13.75 ns,22.0,2,32,64
G.Skill Trident Z5 Neo 64 GB,4.5,204.99,DDR5-6000,2 x 32GB,3.203,Black / Silver,10 ns,30.0,2,32,64
ADATA XPG Lancer Blade 32 GB,5.0,109.99,DDR5-6000,2 x 16GB,3.437,Black,10 ns,30.0,2,16,32
G.Skill Trident Z5 RGB 64 GB,4.5,234.99,DDR5-6800,2 x 32GB,3.672,Black,10 ns,34.0,2,32,64
G.Skill Ripjaws S5 64 GB,4.0,144.99,DDR5-6000,2 x 32GB,2.265,Black,12 ns,36.0,2,32,64
G.Skill Ripjaws S5 96 GB,5.0,284.99,DDR5-6400,2 x 48GB,2.969,Black,10 ns,32.0,2,48,96
Timetec PINNACLE Konduit 32 GB,5.0,43.99,DDR4-3200,2 x 16GB,1.375,White,10 ns,16.0,2,16,32
Corsair Vengeance RGB Pro 16 GB,4.5,55.99,DDR4-3200,2 x 8GB,3.499,White,10 ns,16.0,2,8,16
G.Skill Trident Z5 Royal 32 GB,5.0,142.99,DDR5-6400,2 x 16GB,4.468,White,9.375 ns,30.0,2,16,32
ADATA XPG Lancer Blade RGB 32 GB,4.5,109.99,DDR5-6000,2 x 16GB,3.437,Black,10 ns,30.0,2,16,32
Corsair Vengeance RGB Pro 32 GB,4.5,83.99,DDR4-3200,2 x 16GB,2.625,White,10 ns,16.0,2,16,32
Corsair Vengeance RGB 32 GB,4.5,102.99,DDR5-5200,2 x 16GB,3.218,White,15.385 ns,40.0,2,16,32
Corsair Vengeance 32 GB,4.5,96.99,DDR5-5200,2 x 16GB,3.031,Black,15.385 ns,40.0,2,16,32
Corsair Vengeance RGB 32 GB,5.0,124.99,DDR5-6000,2 x 16GB,3.906,White / Silver,10 ns,30.0,2,16,32
Kingston FURY Beast 8 GB,,23.89,DDR4-3200,1 x 8GB,2.986,Black,10 ns,16.0,1,8,8
TEAMGROUP T-Force Delta RGB 16 GB,4.5,38.99,DDR4-3600,2 x 8GB,2.437,Black,10 ns,18.0,2,8,16
Corsair Dominator Titanium 32 GB,5.0,175.99,DDR5-6000,2 x 16GB,5.5,Black,10 ns,30.0,2,16,32
Kingston FURY Beast 128 GB,5.0,466.99,DDR5-5600,4 x 32GB,3.648,White,14.286 ns,40.0,4,32,128
Kingston HyperX Fury 16 GB,4.5,,DDR4-3200,2 x 8GB,,Black / Silver,10 ns,16.0,2,8,16
Samsung M378A1K43CB2-CRC 8 GB,4.0,14.0,DDR4-2400,1 x 8GB,1.75,Green,14.167 ns,17.0,1,8,8
G.Skill Trident Z5 Neo RGB 32 GB,5.0,179.99,DDR5-6000,2 x 16GB,,Black,8.667 ns,26.0,2,16,32
G.Skill Trident Z RGB 64 GB,4.5,124.99,DDR4-3600,2 x 32GB,1.953,Black,10 ns,18.0,2,32,64
G.Skill Trident Z5 Neo RGB 32 GB,5.0,127.99,DDR5-6400,2 x 16GB,4.0,Black,9.375 ns,30.0,2,16,32
Crucial CT16G48C40U5 16 GB,5.0,33.11,DDR5-4800,1 x 16GB,2.069,Black,16.667 ns,40.0,1,16,16
Patriot Viper Venom 64 GB,,134.99,DDR5-6000,2 x 32GB,2.109,Black / White,12 ns,36.0,2,32,64
G.Skill Flare X5 64 GB,,224.99,DDR5-6000,2 x 32GB,3.515,Black,9.333 ns,28.0,2,32,64
Corsair Vengeance RGB 16 GB,,69.98,DDR5-5200,2 x 8GB,4.374,Black / Gray,15.385 ns,40.0,2,8,16
Lexar Ares RGB 32 GB,5.0,114.99,DDR5-6000,2 x 16GB,3.593,Black,10 ns,30.0,2,16,32
G.Skill Trident Z5 Neo RGB 96 GB,,424.99,DDR5-6000,2 x 48GB,,Black,9.333 ns,28.0,2,48,96
G.Skill Trident Z5 RGB 32 GB,4.5,94.99,DDR5-6000,2 x 16GB,2.968,Black,12 ns,36.0,2,16,32
Corsair Vengeance 128 GB,,499.99,DDR5-5600,4 x 32GB,3.906,Black,14.286 ns,40.0,4,32,128
G.Skill Trident Z RGB 32 GB,5.0,78.83,DDR4-3200,2 x 16GB,2.463,Black,10 ns,16.0,2,16,32
Corsair Vengeance 96 GB,5.0,333.99,DDR5-6000,2 x 48GB,3.479,Black / Silver,10 ns,30.0,2,48,96
Corsair Vengeance RGB 32 GB,,189.99,DDR5-8000,2 x 16GB,5.937,Black / Gray,9 ns,36.0,2,16,32
Corsair Vengeance 64 GB,5.0,145.99,DDR5-5600,2 x 32GB,2.281,Black,14.286 ns,40.0,2,32,64
Crucial CT2K64G56C46U5 128 GB,,313.99,DDR5-5600,2 x 64GB,2.453,Black,16.429 ns,46.0,2,64,128
Corsair Vengeance 32 GB,4.5,117.99,DDR5-6400,2 x 16GB,3.687,Black,10 ns,32.0,2,16,32
G.Skill Trident Z5 Neo 32 GB,4.5,116.99,DDR5-6000,2 x 16GB,3.656,Black,10 ns,30.0,2,16,32
Patriot Viper Venom 16 GB,5.0,52.99,DDR5-5200,2 x 8GB,3.312,Black / White,13.846 ns,36.0,2,8,16
Crucial Pro Overclocking 64 GB,4.0,209.99,DDR5-6400,2 x 32GB,3.281,Black,12.5 ns,40.0,2,32,64
Corsair Vengeance LPX 64 GB,5.0,99.99,DDR4-3600,2 x 32GB,1.562,Black,10 ns,18.0,2,32,64
TEAMGROUP T-Force Vulcan Z 16 GB,4.5,26.99,DDR4-3200,2 x 8GB,1.687,Gray,10 ns,16.0,2,8,16
Silicon Power XPOWER Turbine 16 GB,4.5,25.97,DDR4-3200,2 x 8GB,1.623,Blue,10 ns,16.0,2,8,16
Corsair Vengeance RGB 64 GB,4.5,274.99,DDR5-6400,2 x 32GB,4.297,Black / Gray,10 ns,32.0,2,32,64
G.Skill Ripjaws V 16 GB,4.5,32.99,DDR4-3600,2 x 8GB,2.062,Black,10 ns,18.0,2,8,16
Crucial CT25664AA667 2 GB,4.0,11.0,DDR2-667,1 x 2GB,5.5,Green,14.993 ns,5.0,1,2,2
TEAMGROUP T-Force Delta RGB 32 GB,4.5,99.99,DDR5-6400,2 x 16GB,3.125,White,10 ns,32.0,2,16,32
TEAMGROUP T-Force Vulcan Z 32 GB,4.5,52.49,DDR4-3600,2 x 16GB,1.64,Black,10 ns,18.0,2,16,32
Corsair Vengeance RGB Pro 32 GB,4.5,81.99,DDR4-3200,2 x 16GB,2.562,Black,10 ns,16.0,2,16,32
Kingston FURY Beast RGB 16 GB,5.0,79.76,DDR5-6000,2 x 8GB,4.985,Black,12 ns,36.0,2,8,16
TEAMGROUP T-Force Delta RGB 32 GB,4.5,83.99,DDR5-6000,2 x 16GB,2.625,White,12.667 ns,38.0,2,16,32
Corsair Vengeance RGB 96 GB,5.0,344.99,DDR5-6000,2 x 48GB,3.594,Black / Silver,10 ns,30.0,2,48,96
G.Skill Trident Z5 RGB 48 GB,5.0,209.99,DDR5-8000,2 x 24GB,4.375,Black,10 ns,40.0,2,24,48
Kingston FURY Beast 16 GB,4.0,56.99,DDR5-5600,2 x 8GB,3.562,Black / Silver,12.857 ns,36.0,2,8,16
G.Skill Trident Z Neo 32 GB,4.5,82.99,DDR4-3600,2 x 16GB,2.593,Black / Silver,8.889 ns,16.0,2,16,32
G.Skill Flare X5 96 GB,,279.99,DDR5-6000,2 x 48GB,2.917,Black,10 ns,30.0,2,48,96
Timetec PINNACLE Konduit 16 GB,4.5,25.99,DDR4-3200,2 x 8GB,1.624,White,10 ns,16.0,2,8,16
Crucial CT2K16G4DFRA32A 32 GB,5.0,54.49,DDR4-3200,2 x 16GB,1.703,Green / Black,13.75 ns,22.0,2,16,32
Crucial Ballistix MAX 16 GB,5.0,995.0,DDR4-5100,2 x 8GB,62.188,Black,7.451 ns,19.0,2,8,16
TEAMGROUP T-Create Expert 64 GB,4.5,176.99,DDR5-6000,2 x 32GB,2.765,Black,11.333 ns,34.0,2,32,64
Crucial CT2K16G48C40U5 32 GB,3.0,68.98,DDR5-4800,2 x 16GB,2.156,Black,16.667 ns,40.0,2,16,32
Corsair Dominator Titanium 64 GB,4.0,298.1,DDR5-6000,2 x 32GB,4.658,White,10 ns,30.0,2,32,64
G.Skill Trident Z5 RGB 64 GB,5.0,157.99,DDR5-6000,2 x 32GB,2.469,Black,12 ns,36.0,2,32,64
Corsair Vengeance 32 GB,4.0,128.97,DDR5-6000,2 x 16GB,4.03,Black,9.333 ns,28.0,2,16,32
G.Skill Trident Z5 Neo RGB 64 GB,,229.99,DDR5-6000,2 x 32GB,3.594,Black,9.333 ns,28.0,2,32,64
Crucial CT51264BA160B 4 GB,4.0,10.29,DDR3-1600,1 x 4GB,2.572,Green,13.75 ns,11.0,1,4,4
TEAMGROUP T-Force Delta RGB 32 GB,,79.98,DDR5-6000,2 x 16GB,2.499,White,12.667 ns,38.0,2,16,32
Corsair Vengeance RGB Pro 64 GB,4.5,985.37,DDR4-3200,4 x 16GB,15.396,Black,10 ns,16.0,4,16,64
Silicon Power XPOWER Turbine 32 GB,,42.97,DDR4-3200,2 x 16GB,1.343,Blue,10 ns,16.0,2,16,32
Corsair Dominator Platinum RGB 128 GB,,,DDR4-3200,8 x 16GB,,Black,10 ns,16.0,8,16,128
G.Skill Trident Z5 Neo RGB 32 GB,,134.99,DDR5-6400,2 x 16GB,4.218,White,9.375 ns,30.0,2,16,32
G.Skill Ripjaws S5 32 GB,5.0,104.99,DDR5-6400,2 x 16GB,3.281,Black,10 ns,32.0,2,16,32
Corsair Vengeance RGB 64 GB,5.0,209.99,DDR5-6000,2 x 32GB,3.281,Black,10 ns,30.0,2,32,64
Corsair Vengeance LPX 16 GB,4.5,36.99,DDR4-3200,2 x 8GB,2.312,Black,10 ns,16.0,2,8,16
Patriot Viper Venom 32 GB,5.0,104.99,DDR5-7000,2 x 16GB,3.281,Black / White,9.143 ns,32.0,2,16,32
Corsair Dominator Titanium 64 GB,5.0,299.99,DDR5-6000,2 x 32GB,4.687,Black,10 ns,30.0,2,32,64
Silicon Power XPOWER Zenith RGB Gaming 32 GB,,97.99,DDR5-6000,2 x 16GB,3.062,Black,10 ns,30.0,2,16,32
Patriot Viper Steel 64 GB,5.0,91.98,DDR4-3600,2 x 32GB,1.437,Silver / Black,10 ns,18.0,2,32,64
Kingston FURY Beast RGB 64 GB,4.5,209.99,DDR5-6000,2 x 32GB,3.281,White,10 ns,30.0,2,32,64
Patriot Signature Line 32 GB,,72.98,DDR5-4800,2 x 16GB,2.281,Black,16.667 ns,40.0,2,16,32
Crucial CT2K8G4DFRA32A 16 GB,5.0,28.99,DDR4-3200,2 x 8GB,1.812,Green,13.75 ns,22.0,2,8,16
TEAMGROUP T-Force Delta RGB 32 GB,4.5,99.99,DDR5-6400,2 x 16GB,3.125,Black,10 ns,32.0,2,16,32
Patriot Signature 8 GB,5.0,18.98,DDR3-1600,1 x 8GB,2.373,Black / Green,13.75 ns,11.0,1,8,8
Kingston FURY Beast 16 GB,3.0,65.56,DDR5-6000,2 x 8GB,4.098,Black / Silver,12 ns,36.0,2,8,16
G.Skill Flare X5 32 GB,4.5,94.99,DDR5-6000,2 x 16GB,2.968,Black,10.667 ns,32.0,2,16,32
Corsair Vengeance RGB 64 GB,,274.99,DDR5-6400,2 x 32GB,4.297,White,10 ns,32.0,2,32,64
Kingston FURY Beast RGB 128 GB,5.0,445.0,DDR5-5200,4 x 32GB,3.477,Black,15.385 ns,40.0,4,32,128
Silicon Power XPOWER Zenith RGB Gaming 32 GB,4.5,97.99,DDR5-6000,2 x 16GB,3.062,White,10 ns,30.0,2,16,32
Patriot Viper Venom 32 GB,5.0,82.99,DDR5-5600,2 x 16GB,2.593,Black / White,12.857 ns,36.0,2,16,32
Kingston HyperX Fury 8 GB,5.0,55.49,DDR4-2666,1 x 8GB,6.936,Black,12.003 ns,16.0,1,8,8
ADATA XPG SPECTRIX D35G RGB 16 GB,,56.52,DDR4-3200,2 x 8GB,3.533,Black,10 ns,16.0,2,8,16
G.Skill Ripjaws S5 32 GB,,73.99,DDR5-5200,2 x 16GB,2.312,Black,15.385 ns,40.0,2,16,32
Corsair Vengeance RGB 32 GB,5.0,94.99,DDR5-6000,2 x 16GB,2.968,Black / Gray,12 ns,36.0,2,16,32
Kingston Server Premier 64 GB,,224.09,DDR4-3200,1 x 64GB,3.501,,13.75 ns,22.0,1,64,64
Corsair Vengeance RGB Pro 64 GB,4.5,139.99,DDR4-3600,2 x 32GB,2.187,Black,10 ns,18.0,2,32,64
G.Skill Trident Z Neo 64 GB,4.5,169.99,DDR4-3600,4 x 16GB,2.656,Black / Silver,8.889 ns,16.0,4,16,64
G.Skill Trident Z5 Royal 96 GB,,319.99,DDR5-6400,2 x 48GB,3.333,Silver,10 ns,32.0,2,48,96
G.Skill Trident Z5 RGB 64 GB,,169.99,DDR5-6000,2 x 32GB,2.656,White / Black,12 ns,36.0,2,32,64
Kingston FURY Beast 64 GB,5.0,229.99,DDR5-6400,2 x 32GB,3.594,Black,10 ns,32.0,2,32,64
Corsair Vengeance 16 GB,,58.98,DDR5-5200,1 x 16GB,3.686,Black,15.385 ns,40.0,1,16,16
Corsair Vengeance LPX 32 GB,4.5,82.93,DDR4-3200,2 x 16GB,2.592,Black / Yellow,10 ns,16.0,2,16,32
G.Skill Ripjaws X 8 GB,4.5,34.79,DDR3-1600,2 x 4GB,4.349,Black / Red,11.25 ns,9.0,2,4,8
Kingston Server Premier 32 GB,,119.48,DDR4-3200,1 x 32GB,3.734,,13.75 ns,22.0,1,32,32
GOODRAM IRDM 32 GB,,,DDR5-6000,2 x 16GB,,Black,10 ns,30.0,2,16,32
Kingston FURY Beast 16 GB,5.0,62.73,DDR5-6000,1 x 16GB,3.921,Black,10 ns,30.0,1,16,16
Gigabyte GP-GR26C16S8K2HU416 16 GB,,,DDR4-2666,2 x 8GB,,Black / White,12.003 ns,16.0,2,8,16
Corsair Vengeance RGB 32 GB,,164.99,DDR5-7200,2 x 16GB,5.156,Black,9.444 ns,34.0,2,16,32
Corsair Vengeance LPX 16 GB,4.5,39.99,DDR4-3200,2 x 8GB,2.499,White,10 ns,16.0,2,8,16
G.Skill Aegis 16 GB,4.0,31.99,DDR4-3200,1 x 16GB,1.999,Red / Black,10 ns,16.0,1,16,16
TEAMGROUP T-Force Vulcan 16 GB,3.0,106.81,DDR5-5200,2 x 8GB,6.676,Black,15.385 ns,40.0,2,8,16
Silicon Power XPOWER Zenith RGB Gaming 32 GB,,58.99,DDR4-3600,2 x 16GB,1.843,Black,10 ns,18.0,2,16,32
Kingston HyperX Fury 16 GB,4.5,,DDR3-1866,2 x 8GB,,Black / Silver,10.718 ns,10.0,2,8,16
Timetec 75TT133U2R8-8G 8 GB,,10.99,DDR3-1333,1 x 8GB,1.374,Green / Black,13.503 ns,9.0,1,8,8
Corsair Dominator Titanium 32 GB,5.0,204.99,DDR5-7200,2 x 16GB,6.406,Black,9.444 ns,34.0,2,16,32
Crucial CT16G4DFRA32A 16 GB,3.0,29.79,DDR4-3200,1 x 16GB,1.862,Green,13.75 ns,22.0,1,16,16
Crucial CT2K32G48C40U5 64 GB,5.0,145.99,DDR5-4800,2 x 32GB,2.281,Black,16.667 ns,40.0,2,32,64
G.Skill Ripjaws S5 32 GB,4.5,104.99,DDR5-6000,2 x 16GB,3.281,White,10 ns,30.0,2,16,32
Corsair Vengeance 64 GB,,218.99,DDR5-5600,4 x 16GB,3.422,Black,12.857 ns,36.0,4,16,64
Corsair Vengeance RGB 64 GB,,279.99,DDR5-6600,2 x 32GB,4.375,Black / Gray,9.697 ns,32.0,2,32,64
Patriot Viper Elite 5 RGB TUF GAMING ALLIANCE 32 GB,,89.99,DDR5-6000,2 x 16GB,2.812,White,12 ns,36.0,2,16,32
TEAMGROUP T-Force Delta RGB 32 GB,5.0,85.99,DDR5-6400,2 x 16GB,2.687,Black,12.5 ns,40.0,2,16,32
Patriot Viper Xtreme 5 48 GB,,177.99,DDR5-8200,2 x 24GB,3.708,Black,9.268 ns,38.0,2,24,48
ADATA XPG SPECTRIX D50 16 GB,5.0,52.9,DDR4-3200,2 x 8GB,3.306,White,10 ns,16.0,2,8,16
Silicon Power XPOWER Storm RGB 32 GB,,82.99,DDR5-6000,2 x 16GB,2.593,Gray,12 ns,36.0,2,16,32
Crucial CT4K32G4LFQ4213 128 GB,,,DDR4-2133,4 x 32GB,,Black / Green,14.065 ns,15.0,4,32,128
ADATA XPG Lancer Blade RGB 32 GB,4.0,,DDR5-6000,2 x 16GB,,White,10 ns,30.0,2,16,32
Corsair Vengeance 64 GB,,160.99,DDR5-5200,2 x 32GB,2.515,White,15.385 ns,40.0,2,32,64
G.Skill Ripjaws 4 8 GB,,,DDR4-2400,1 x 8GB,,Black / Green,12.5 ns,15.0,1,8,8
TEAMGROUP T-Force Delta RGB 32 GB,,119.99,DDR5-6000,2 x 16GB,,White,9.333 ns,28.0,2,16,32
Kingston FURY Beast 16 GB,2.0,71.2,DDR5-6000,2 x 8GB,4.45,Black,10 ns,30.0,2,8,16
PNY XLR8 Gaming EPIC-X RGB 16 GB,4.5,49.0,DDR4-3200,2 x 8GB,3.062,Black,10 ns,16.0,2,8,16
TEAMGROUP T-Create Expert 64 GB,5.0,180.99,DDR5-6400,2 x 32GB,2.828,White,10.625 ns,34.0,2,32,64
Corsair Vengeance LPX 16 GB,4.5,37.99,DDR4-2133,2 x 8GB,2.374,Black / Yellow,12.189 ns,13.0,2,8,16
G.Skill Trident Z5 RGB 32 GB,4.5,109.99,DDR5-6400,2 x 16GB,3.437,White / Black,10 ns,32.0,2,16,32
Corsair Dominator Titanium 32 GB,,204.99,DDR5-7200,2 x 16GB,6.406,White,9.444 ns,34.0,2,16,32
TEAMGROUP T-Force Vulcan 32 GB,4.5,79.99,DDR5-5200,2 x 16GB,2.5,Black,15.385 ns,40.0,2,16,32
TEAMGROUP T-Force Vulcan 32 GB,,74.98,DDR5-6000,2 x 16GB,2.343,Black,12.667 ns,38.0,2,16,32
Corsair Vengeance 32 GB,,80.98,DDR5-5200,1 x 32GB,2.531,Black,15.385 ns,40.0,1,32,32
Corsair Vengeance RGB 64 GB,,308.99,DDR5-6600,4 x 16GB,4.828,Black / Gray,9.697 ns,32.0,4,16,64
G.Skill Flare X5 32 GB,,124.99,DDR5-6000,2 x 16GB,3.906,White,9.333 ns,28.0,2,16,32
Patriot Signature Premium 16 GB,5.0,27.99,DDR4-2666,1 x 16GB,1.749,Black,14.254 ns,19.0,1,16,16
Corsair Vengeance 96 GB,,344.99,DDR5-6600,2 x 48GB,3.594,Black / Silver,9.697 ns,32.0,2,48,96
Kingston FURY Beast 32 GB,5.0,66.48,DDR4-3200,1 x 32GB,2.078,Black,10 ns,16.0,1,32,32
Corsair Dominator Titanium 96 GB,,451.99,DDR5-6000,4 x 24GB,4.708,Black,10 ns,30.0,4,24,96
G.Skill Trident Z Neo 16 GB,4.5,52.99,DDR4-3600,2 x 8GB,3.312,Black / Silver,8.889 ns,16.0,2,8,16
G.Skill Ripjaws M5 Neo RGB 96 GB,,309.99,DDR5-6000,2 x 48GB,3.229,Black,10 ns,30.0,2,48,96
G.Skill Trident Z5 RGB 96 GB,,289.99,DDR5-6400,2 x 48GB,3.021,White / Black,10 ns,32.0,2,48,96
G.Skill Trident Z5 Neo RGB 32 GB,,134.99,DDR5-6000,2 x 16GB,4.218,Silver / Black,9.333 ns,28.0,2,16,32
Kingston FURY Beast 32 GB,5.0,90.54,DDR5-5600,1 x 32GB,2.829,Black,14.286 ns,40.0,1,32,32
G.Skill Trident Z5 Neo RGB 96 GB,,424.99,DDR5-6000,2 x 48GB,4.427,Silver / Black,9.333 ns,28.0,2,48,96
Patriot Viper Venom 32 GB,5.0,102.99,DDR5-6600,2 x 16GB,3.218,Black / White,10.303 ns,34.0,2,16,32
G.Skill Ripjaws S5 64 GB,,149.99,DDR5-5600,2 x 32GB,2.344,White,12.857 ns,36.0,2,32,64
Kingston FURY Beast 32 GB,4.5,69.98,DDR4-3200,2 x 16GB,2.187,Black,10 ns,16.0,2,16,32
Corsair Vengeance LPX 64 GB,4.0,129.99,DDR4-3200,4 x 16GB,2.031,Black / Yellow,10 ns,16.0,4,16,64
Kingston FURY Beast 64 GB,4.5,169.99,DDR5-5600,2 x 32GB,2.656,Black,14.286 ns,40.0,2,32,64
G.Skill Ripjaws M5 Neo RGB 32 GB,,91.99,DDR5-6000,2 x 16GB,2.875,Black,12 ns,36.0,2,16,32
Crucial Pro 48 GB,3.0,123.99,DDR5-6000,2 x 24GB,2.583,Black,16 ns,48.0,2,24,48
Patriot Viper Elite II 16 GB,5.0,39.99,DDR4-4000,2 x 8GB,2.499,Red / Black,10 ns,20.0,2,8,16
Timetec PINNACLE Konduit 32 GB,5.0,46.99,DDR4-3600,2 x 16GB,1.468,Black,10 ns,18.0,2,16,32
G.Skill Trident Z5 Royal Neo RGB 32 GB,,179.99,DDR5-8000,2 x 16GB,5.625,Silver,9.5 ns,38.0,2,16,32
Corsair Dominator Titanium 32 GB,5.0,179.99,DDR5-6600,2 x 16GB,5.625,Black,9.697 ns,32.0,2,16,32
Corsair Vengeance LPX 8 GB,4.0,20.99,DDR4-3200,1 x 8GB,2.624,Black,10 ns,16.0,1,8,8
Corsair Dominator Platinum RGB 32 GB,5.0,159.99,DDR5-6000,2 x 16GB,5.0,Black,10 ns,30.0,2,16,32
Timetec PINNACLE Konduit 32 GB,5.0,49.99,DDR4-3600,2 x 16GB,1.562,White,10 ns,18.0,2,16,32
Corsair Dominator Titanium 32 GB,,199.99,DDR5-7000,2 x 16GB,6.25,White,9.714 ns,34.0,2,16,32
Patriot Viper Steel 16 GB,4.5,28.99,DDR4-3200,1 x 16GB,1.812,Silver / Black,10 ns,16.0,1,16,16
Patriot Viper Elite II 32 GB,,59.99,DDR4-4000,2 x 16GB,1.875,Red / Black,10 ns,20.0,2,16,32
G.Skill Trident Z RGB 64 GB,,139.99,DDR4-4000,2 x 32GB,2.187,Black,9 ns,18.0,2,32,64
Corsair Vengeance 32 GB,3.0,159.99,DDR5-7200,2 x 16GB,5.0,Gray,9.444 ns,34.0,2,16,32
Corsair Vengeance LPX 16 GB,4.5,39.99,DDR4-2666,2 x 8GB,2.499,Black / Yellow,12.003 ns,16.0,2,8,16
G.Skill Trident Z5 Royal Neo RGB 32 GB,,174.99,DDR5-6000,2 x 16GB,5.468,Gold,9.333 ns,28.0,2,16,32
G.Skill Ripjaws V 128 GB,5.0,224.99,DDR4-3200,4 x 32GB,1.758,Black,10 ns,16.0,4,32,128
Corsair Vengeance 96 GB,5.0,259.99,DDR5-5600,2 x 48GB,2.708,Black,14.286 ns,40.0,2,48,96
Kingston HyperX Fury 16 GB,4.0,,DDR4-2666,2 x 8GB,,Black,12.003 ns,16.0,2,8,16
Corsair CMV4GX4M1A2133C15 4 GB,4.0,14.99,DDR4-2133,1 x 4GB,3.748,Black,14.065 ns,15.0,1,4,4
OLOy MD4U083216BJDA 16 GB,5.0,35.98,DDR4-3200,2 x 8GB,2.249,Black,10 ns,16.0,2,8,16
PNY XLR8 16 GB,,36.99,DDR4-3600,2 x 8GB,2.312,Black,10 ns,18.0,2,8,16
Corsair Vengeance RGB 96 GB,5.0,356.99,DDR5-6600,2 x 48GB,3.719,Black / Silver,9.697 ns,32.0,2,48,96
Patriot Viper Steel 8 GB,4.5,19.98,DDR4-3200,1 x 8GB,2.498,Silver / Black,10 ns,16.0,1,8,8
TEAMGROUP T-Force Delta RGB 32 GB,4.5,61.99,DDR4-3200,2 x 16GB,1.937,Black,10 ns,16.0,2,16,32
Corsair Vengeance 32 GB,4.0,103.99,DDR5-5600,2 x 16GB,3.25,Black / Gray,14.286 ns,40.0,2,16,32
TEAMGROUP T-Force Delta RGB 32 GB,,,DDR5-5600,2 x 16GB,,White,13.571 ns,38.0,2,16,32
Corsair Vengeance LPX 16 GB,5.0,33.99,DDR4-3000,1 x 16GB,2.124,Black,10.667 ns,16.0,1,16,16
G.Skill Trident Z5 RGB 32 GB,4.0,154.99,DDR5-7800,2 x 16GB,4.843,Black,9.231 ns,36.0,2,16,32
TEAMGROUP Elite 16 GB,,36.99,DDR5-4800,1 x 16GB,2.312,Black,16.667 ns,40.0,1,16,16
Corsair Dominator Titanium 96 GB,,405.99,DDR5-6400,2 x 48GB,4.229,White,10 ns,32.0,2,48,96
G.Skill NS 2 GB,3.0,12.9,DDR3-1333,1 x 2GB,6.45,Green,13.503 ns,9.0,1,2,2
Corsair Vengeance RGB RT 32 GB,4.5,90.99,DDR4-3600,2 x 16GB,2.843,Black,8.889 ns,16.0,2,16,32
Corsair Vengeance RGB 64 GB,,236.99,DDR5-5600,4 x 16GB,3.703,Black / Gray,12.857 ns,36.0,4,16,64
G.Skill Ripjaws 4 16 GB,4.5,,DDR4-3000,2 x 8GB,,Blue,10 ns,15.0,2,8,16
Corsair Dominator Titanium 32 GB,,184.99,DDR5-6600,2 x 16GB,5.781,White,9.697 ns,32.0,2,16,32
G.Skill Ripjaws V 32 GB,5.0,101.23,DDR4-4400,2 x 16GB,3.163,Black,8.636 ns,19.0,2,16,32
G.Skill Trident Z5 RGB 64 GB,4.5,218.99,DDR5-6400,2 x 32GB,3.422,Silver / Black,10 ns,32.0,2,32,64
G.Skill Ripjaws M5 Neo RGB 96 GB,,299.99,DDR5-6000,2 x 48GB,3.125,White,10 ns,30.0,2,48,96
G.Skill Trident Z5 Neo RGB 64 GB,4.5,209.99,DDR5-6000,2 x 32GB,3.281,Black / Silver,10.667 ns,32.0,2,32,64
G.Skill Aegis 32 GB,4.5,49.99,DDR4-2666,2 x 16GB,1.562,Black / Red,14.254 ns,19.0,2,16,32
Patriot Viper Elite II 16 GB,,34.99,DDR4-3200,2 x 8GB,2.187,Red / Black,11.25 ns,18.0,2,8,16
Patriot Viper Steel 32 GB,,54.99,DDR4-3200,1 x 32GB,1.718,Gray,10 ns,16.0,1,32,32
Patriot Viper Venom RGB 32 GB,,94.99,DDR5-6200,2 x 16GB,2.968,Black / White,12.903 ns,40.0,2,16,32
Corsair Vengeance RGB Pro 128 GB,5.0,286.99,DDR4-3600,4 x 32GB,2.242,Black,10 ns,18.0,4,32,128
G.Skill Ripjaws M5 RGB 96 GB,,179.99,DDR5-5200,2 x 48GB,1.875,White,15.385 ns,40.0,2,48,96
Klevv CRAS X RGB 16 GB,5.0,38.99,DDR4-3200,2 x 8GB,2.437,Black,10 ns,16.0,2,8,16
ADATA XPG SPECTRIX D35G RGB 16 GB,,41.31,DDR4-3200,1 x 16GB,2.582,Black,10 ns,16.0,1,16,16
ADATA XPG Lancer Blade 32 GB,,124.99,DDR5-6400,2 x 16GB,3.906,Black,10 ns,32.0,2,16,32
G.Skill Ripjaws V 128 GB,5.0,219.99,DDR4-2666,4 x 32GB,1.719,Black,13.503 ns,18.0,4,32,128
Kingston Fury Renegade RGB 96 GB,,364.99,DDR5-6400,2 x 48GB,3.802,Silver / Black,10 ns,32.0,2,48,96
